
购买[残缺艮卦元神之石耐久3/3]成功，以[50金1铜]每个的价格买入[1]个	2014-10-18 15:36:36  
购买[残缺艮卦元神之石耐久3/3]成功，以[50金1铜]每个的价格买入[1]个	2014-10-18 15:36:56  
金刚正在优化中，预计1分钟时间，请稍后……	2014-10-18 15:37:04  
解除对窗口的绑定，进行资源释放	2014-10-18 15:37:07  
COM释放完毕,资源释放完毕！	2014-10-18 15:37:07  
自动扫货杂货类数据保存完毕	2014-10-18 15:37:08  
自动扫货八卦灵石类数据保存完毕	2014-10-18 15:37:08  
自动扫货宠物壳子类数据保存完毕	2014-10-18 15:37:08  
自动扫货风物志类数据保存完毕	2014-10-18 15:37:08  
自动扫货传奇配方类数据保存完毕	2014-10-18 15:37:08  
自动扫货其他分类数据保存完毕	2014-10-18 15:37:08  
进行窗口绑定	2014-10-18 15:37:12  
窗口操作:成功	2014-10-18 15:37:14  
改变窗口大小:成功	2014-10-18 15:37:14  
匹配我的血量开始的颜色:失败，自动调整至100级模式进行匹配	2014-10-18 15:37:14  
匹配我的血量开始的颜色:成功	2014-10-18 15:37:14  
自动扫货杂货类数据保存完毕	2014-10-18 15:37:14  
加载自动扫货杂货类数据完毕	2014-10-18 15:37:14  
自动扫货八卦灵石类数据保存完毕	2014-10-18 15:37:14  
八卦灵石载入：871条数据	2014-10-18 15:37:14  
加载自动扫货八卦灵石类数据完毕	2014-10-18 15:37:14  
自动扫货宠物壳子类数据保存完毕	2014-10-18 15:37:14  
宠物壳子载入：53条数据	2014-10-18 15:37:14  
加载自动扫货宠物壳子类数据完毕	2014-10-18 15:37:14  
自动扫货风物志类数据保存完毕	2014-10-18 15:37:14  
风物志载入：468条数据	2014-10-18 15:37:14  
加载自动扫货风物志类数据完毕	2014-10-18 15:37:14  
自动扫货传奇配方类数据保存完毕	2014-10-18 15:37:14  
传奇配方载入：40条数据	2014-10-18 15:37:14  
加载自动扫货传奇配方类数据完毕	2014-10-18 15:37:14  
自动扫货其他分类数据保存完毕	2014-10-18 15:37:14  
加载自动扫货其他分类数据完毕	2014-10-18 15:37:14  
查看周围摊位窗口移动完毕	2014-10-18 15:37:16  
查看摊位摆摊信息窗口移动完毕	2014-10-18 15:37:24  
摊位坐标初始化完毕！初始化成功	2014-10-18 15:37:24  
扫货主线程启动	2014-10-18 15:37:25  
日志线程启动	2014-10-18 15:37:25  
系统线程启动	2014-10-18 15:37:25  
初始化数据完毕，开始执行	2014-10-18 15:37:25  
购买[残缺坤卦力量之石耐久3/3]成功，以[10金1铜]每个的价格买入[1]个	2014-10-18 16:33:14  
购买[残缺坤卦力量之石耐久3/3]成功，以[10金1铜]每个的价格买入[1]个	2014-10-18 16:57:39  
购买[残缺坤卦力量之石耐久3/3]成功，以[10金1铜]每个的价格买入[1]个	2014-10-18 17:10:22  
购买[残缺坤卦力量之石耐久3/3]成功，以[10金1铜]每个的价格买入[1]个	2014-10-18 17:10:27  
金刚正在优化中，预计1分钟时间，请稍后……	2014-10-18 17:37:27  
解除对窗口的绑定，进行资源释放	2014-10-18 17:37:50  
COM释放完毕,资源释放完毕！	2014-10-18 17:37:50  
检测到COM组件已释放完毕	2014-10-18 17:37:52  
金刚内存优化中……释放多于内存	2014-10-18 17:37:52  
重新开启自动扫货	2014-10-18 17:37:54  
扫货主线程启动	2014-10-18 17:37:54  
日志线程启动	2014-10-18 17:37:54  
